scores,average_scores,std
1.1102230246251565e-16,1.1102230246251565e-16,0.0
-0.7000000000000004,-0.35000000000000014,0.35000000000000026
0.7,-1.1102230246251565e-16,0.5715476066494084
-4.1999999999999975,-1.0499999999999994,1.8848076824970754
-6.999999999999988,-2.239999999999997,2.916573331839948
-0.9000000000000006,-2.0166666666666644,2.7088845592892166
-3.5999999999999996,-2.2428571428571407,2.5684109277678937
0.9,-1.849999999999998,2.6177280225416815
-0.9000000000000006,-1.7444444444444427,2.4860102400392945
1.0,-1.4699999999999984,2.49801921529839
-1.9000000000000012,-1.509090909090908,2.384973621144206
-4.699999999999996,-1.7749999999999986,2.447830672248386
0.7,-1.5846153846153834,2.4425227040425437
0.4,-1.4428571428571417,2.408530757155335
