scores,average_scores,std
-1.8,-1.2166666666666666,1.1036555420762202
-1.5999999999999999,-0.49999999999999983,1.1575836902790224
-1.9000000000000001,-1.263636363636364,0.8751859306588177
-1.7,-1.1,1.174734012447073
-1.3000000000000003,-1.188888888888889,0.9409740159884503
-1.9000000000000001,-1.34,0.795654866551237
-2.3000000000000003,-0.95,1.2698425099200294
-2.1,-1.3000000000000003,0.8088792952509753
-1.1,-1.2500000000000002,0.8391463916782737
-1.3,-1.2000000000000002,0.8933084573650918
1.1,1.1,0.0
-0.9999999999999999,0.0500000000000001,1.05
-1.5999999999999999,-1.2714285714285716,1.0305536455355107
-1.1,-1.2384615384615385,0.8072159767596865
-0.5,-1.175,0.9971835337589566
-1.4999999999999998,-1.2176470588235295,0.9166661423926361
-2.3000000000000007,-0.9909090909090911,1.1492721376075343
0.9,-1.1000000000000003,1.0143416036468627
-1.7000000000000002,-0.9285714285714287,1.1393995315590606
0.9,-1.2000000000000002,0.9420721840708386
-0.9,-0.9166666666666666,1.1509657780413032
0.7,-0.8900000000000002,1.1540797199500563
-2.1,-1.0038461538461538,1.1463925925839547
-2.0000000000000004,-0.96,1.147519063022484
-1.2000000000000002,-1.011111111111111,1.1255725566336956
1.3,-0.9736842105263159,1.1233606091419377
-0.8,-0.9566666666666668,1.0855669281787999
-0.6000000000000001,-0.9964285714285716,1.1079202339960939
-1.2999999999999998,-1.0363636363636364,1.0758557360251848
-1.5,-1.05,1.0628070490589587
-2.5,-1.0281250000000002,1.0915111013521577
0.7,-0.9173913043478263,1.175715202838364
-1.7000000000000004,-0.9806451612903226,1.0759599929121693
1.1102230246251565e-16,-0.9620689655172414,1.1037284127161269
-1.7999999999999998,-0.9666666666666669,1.0677878722718948
-1.2000000000000002,-0.9447368421052635,1.0730422487442086
-1.0999999999999999,-0.97,1.0545615202537975
0.29999999999999993,-0.9750000000000002,1.0781607280714485
-1.7,-0.9878048780487805,1.047690869030257
-0.8999999999999999,-0.9488372093023255,1.0506635982820585
-0.7000000000000001,-0.9431818181818182,1.0393174611849678
0.4,-0.9378378378378381,1.0866142186580847
-0.9000000000000001,-0.9520833333333334,1.0113912825355422
-1.5999999999999999,-0.9531914893617022,1.0220652982907317
-0.09999999999999987,-0.9244444444444445,1.0351930696049045
0.29999999999999993,-1.0114285714285716,1.0713866658471638
-1.5999999999999999,-0.9391304347826087,1.0286078098405769
-2.600000000000001,-0.9857142857142858,1.0277774713488543
-0.7999999999999999,-0.9803921568627451,1.0078164336128153
-0.9000000000000001,-0.9840000000000001,1.0175185501994548
-1.7000000000000002,-0.9942307692307693,1.002959747167288
0.6,-0.95,1.0630705750885252
-1.8000000000000003,-1.009433962264151,0.9994836687658201
-1.4999999999999998,-0.9892857142857144,0.9879051739175483
-0.5,-1.0,0.9925649526278797
-1.9000000000000001,-1.0052631578947369,0.9864736154129098
-1.6999999999999997,-1.017241379310345,0.9821050458308285
-1.4,-1.023728813559322,0.9749991713253059
-1.6,-1.035483870967742,0.9546316253206967
0.10000000000000009,-0.98,0.9944207998994831
-1.2999999999999998,-1.0283333333333333,0.9674867211262156
-0.8999999999999999,-1.0262295081967214,0.9596621057237039
-1.4000000000000001,-1.0412698412698413,0.9481200983190278
-1.2,-1.047692307692308,0.9341565825438792
