scores,average_scores,std
-2.8,-1.1142857142857143,1.682199726063272
0.8,0.8,0.0
0.8,0.8,0.0
-3.0,-1.6199999999999999,1.6073580808270445
-2.8,-0.45999999999999985,1.5692036196746424
-2.7,-1.3125,1.6586421404269216
-2.7,-0.8333333333333334,1.6579773487261185
-1.9,0.1250000000000001,1.169134295108992
-2.7,-1.4666666666666666,1.6234394215847894
0.8,0.8000000000000002,1.1102230246251565e-16
-2.6,-1.7090909090909092,1.558235917168424
-1.7000000000000002,-1.7083333333333333,1.4918994231813647
-0.8999999999999999,-1.3066666666666664,1.6035238971991932
0.6,-1.1875,1.6197511382925465
-2.1,-1.1166666666666667,1.6245512200810004
-2.8,-1.2650000000000001,1.605389360871686
1.0,-1.5,1.604800490835112
-2.4,-1.1842105263157894,1.606979238032696
-2.5,-1.3238095238095238,1.588621673294708
-2.6999999999999997,-1.3863636363636365,1.578346503766018
-2.7,-1.3541666666666667,1.5924245577804377
-3.1000000000000005,-1.4240000000000002,1.5973177517325725
0.8,-1.3357142857142856,1.6559878980135534
1.0,-1.0588235294117647,1.6535376775904058
0.7,-1.2956521739130435,1.601216456287712
-2.4000000000000004,-1.3888888888888888,1.5917224151571092
-3.0,-1.3758620689655172,1.6076659398265791
-3.3000000000000003,-1.3375000000000001,1.6230276491791507
-0.40000000000000013,-1.2741935483870968,1.6096418639812267
0.5,-1.35,1.6094074399269775
0.6,-1.3178571428571428,1.6060273906729725
-3.3000000000000003,-1.326470588235294,1.6592536989171494
-2.2,-1.3514285714285716,1.641840679337228
-2.9,-1.3351351351351353,1.6551665575070826
-2.9000000000000004,-1.3763157894736844,1.652340319624246
-2.2,-1.3974358974358976,1.636206867287119
0.8,-1.3033333333333335,1.6281857660871777
-2.5,-1.425,1.6247692143809225
1.0,-1.2666666666666668,1.6477103795720578
0.8,-1.291666666666667,1.6570346673769045
-2.5999999999999996,-1.369767441860465,1.6238820675075285
0.0,-1.3902439024390243,1.6198170444790274
-2.3,-1.3909090909090909,1.611297921470619
-2.5,-1.5083333333333335,1.597502390886752
-2.3,-1.411111111111111,1.59891938817332
-2.8,-1.441304347826087,1.5943618168485392
-3.600000000000001,-1.4872340425531914,1.607775921361304
0.7,-1.3404761904761904,1.6318350062210163
-2.8000000000000003,-1.5346938775510204,1.5916300232085479
-3.0,-1.564,1.5889317165945176
-2.0,-1.572549019607843,1.574437768478883
-2.5999999999999996,-1.5528301886792453,1.5766699770234525
-2.7,-1.5740740740740742,1.5696408158586244
-3.5,-1.6090909090909091,1.576448566444408
-2.0,-1.6160714285714286,1.5631672044869909
0.5,-1.5326923076923078,1.5849922535416325
-2.2,-1.6263157894736842,1.5512899347576896
-2.9000000000000004,-1.6482758620689657,1.5467698689037082
-2.2,-1.657627118644068,1.5352583164561038
-3.0,-1.6459016393442625,1.5422544463253873
-2.9000000000000004,-1.6661290322580646,1.5379021685805863
-2.8,-1.6841269841269844,1.5322155707679002
-3.2,-1.7078125000000002,1.5317784483546406
0.4,-1.6233333333333335,1.545031463181971
-2.8,-1.7246153846153847,1.525882420032197
-2.3000000000000003,-1.7333333333333334,1.5159089016097895
-3.0,-1.7161764705882354,1.5299567750639276
-3.5,-1.7420289855072464,1.5337182059921324
-2.5,-1.6791666666666667,1.5660404333505853
0.7,-1.6970149253731344,1.533211452470333
-3.1,-1.6986301369863013,1.5640212616959424
0.8,-1.667605633802817,1.5739762734120344
